Thread ID: 18456180
Fiber ID: 52550820
Total: 4.166524
Sort by: self_time

 %self      total      self      wait     child     calls  name
  5.70      0.240     0.237     0.000     0.002   150094   Hash#[]= 
  2.05      0.896     0.085     0.000     0.811    90004  *Class#new 
  1.85      0.077     0.077     0.000     0.000     1000   SQLite3::Statement#initialize 
  1.63      0.068     0.068     0.000     0.000    19002   Hash#initialize_copy 
  1.28      0.092     0.053     0.000     0.038   104000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.22      0.224     0.051     0.000     0.173    23000   Hash#each 
  1.21      0.059     0.050     0.000     0.009    77004   Kernel#respond_to? 
  1.17      0.103     0.049     0.000     0.054     5000   URI::Generic#initialize 
  1.10      0.046     0.046     0.000     0.000    12002   Hash#initialize 
  1.08      0.045     0.045     0.000     0.000    11000   Regexp#=== 
  1.00      0.042     0.042     0.000     0.000    16000   String#split 
  0.95      0.041     0.039     0.000     0.001     1000   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env 
  0.94      0.039     0.039     0.000     0.000    10000   String#=~ 
  0.92      0.139     0.038     0.000     0.101     5000   Array#select 
  0.90      2.385     0.037     0.000     2.348    61003  *Array#each 
  0.80      0.057     0.033     0.000     0.024    42000   ThreadSafe::Cache#[] 
  0.80      0.072     0.033     0.000     0.039    26002   Array#map 
  0.78      0.085     0.032     0.000     0.053    39000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.76      0.141     0.032     0.000     0.109    19000   Rack::Utils::HeaderHash#[]= 
  0.74      0.031     0.031     0.000     0.000    49000   Thread#[] 
  0.70      0.051     0.029     0.000     0.022    58000  *Kernel#public_send 
  0.65      4.062     0.027     0.000     4.035     1000   ActionDispatch::Integration::Session#process 
  0.65      0.028     0.027     0.000     0.001     1000   SQLite3::Statement#step 
  0.64      0.027     0.027     0.000     0.000   131000   String#to_s 
  0.63      0.027     0.026     0.000     0.000    44000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.59      0.055     0.025     0.000     0.030     1000   ActiveSupport::Inflector#underscore 
  0.59      0.025     0.025     0.000     0.000     1000   <Class::Dir>#[] 
  0.55      0.023     0.023     0.000     0.000    50000   Module#name 
  0.55      0.106     0.023     0.000     0.083    31002  *Kernel#dup 
  0.54      0.023     0.023     0.000     0.000    62000   Kernel#is_a? 
  0.53      0.022     0.022     0.000     0.000   161000   String#=== 
  0.52      0.022     0.022     0.000     0.000     3000   IO#write 
  0.52      0.022     0.022     0.000     0.000     5000   String#% 
  0.49      0.100     0.021     0.000     0.079    40003  *Kernel#initialize_dup 
  0.49      0.020     0.020     0.000     0.000     4000   String#gsub! 
  0.46      0.021     0.019     0.000     0.002     1000   Time#to_default_s 
  0.44      0.120     0.018     0.000     0.101     2000   ActionDispatch::Response#initialize 
  0.44      0.018     0.018     0.000     0.000     3000   Regexp#initialize 
  0.41      0.060     0.017     0.000     0.043     5000   URI::Parser#split 
  0.39      0.033     0.016     0.000     0.017     9001   Hash#merge 
  0.38      0.101     0.016     0.000     0.085     3000  *<Class::Rack::MockRequest>#env_for 
  0.38      0.034     0.016     0.000     0.019     2000   Array#reject! 
  0.37      0.016     0.016     0.000     0.000    42000   Module#=== 
  0.35      0.015     0.015     0.000     0.000    66000   <Class::Thread>#current 
  0.35      0.015     0.015     0.000     0.000    31000   String#downcase 
  0.35      0.026     0.015     0.000     0.012    21000   Enumerable#any? 
  0.34      0.187     0.014     0.000     0.173    10000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.34      0.102     0.014     0.000     0.088    10000   Kernel#tap 
  0.33      0.041     0.014     0.000     0.027     6000   ActionDispatch::Request#initialize 
  0.33      0.024     0.014     0.000     0.011     3000  *URI::Generic#to_s 
