Thread ID: 18456180
Fiber ID: 52550820
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
   NaN      0.000     0.000     0.000     0.000     2000   Array#reject! 
   NaN      0.000     0.000     0.000     0.000     2000   ActiveSupport::Notifications::Fanout#unsubscribe 
   NaN      0.000     0.000     0.000     0.000     2000   <Module::ActiveSupport::Notifications>#unsubscribe 
   NaN      0.000     0.000     0.000     0.000     1000   ActionController::TemplateAssertions#teardown_subscriptions 
   NaN      0.000     0.000     0.000     0.000     1000   JsonTestTest#_run__4105572073353247258__teardown__callbacks 
   NaN      0.000     0.000     0.000     0.000     1000   MiniTest::Unit::TestCase#teardown 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Integration::Runner#copy_session_variables! 
   NaN      0.000     0.000     0.000     0.000     1000   String#delete 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::MockResponse#body 
   NaN      0.000     0.000     0.000     0.000     2000   Rack::MockSession#last_request 
   NaN      0.000     0.000     0.000     0.000     2000   Rack::Test::Session#last_request 
   NaN      0.000     0.000     0.000     0.000     2000   Rack::Test::Session#last_response 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Test::Session#retry_with_digest_auth? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Response#finish 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Test::CookieJar#merge 
   NaN      0.000     0.000     0.000     0.000     4000   Rack::MockSession#last_response 
   NaN      0.000     0.000     0.000     0.000     1000   Rails::Rack::Logger#finish 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::QueryCache#disable_query_cache! 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache 
   NaN      0.000     0.000     0.000     0.000     2000  *ActiveRecord::ConnectionHandling#connection_id= 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::QueryCache#restore_query_cache_settings 
   NaN      0.000     0.000     0.000     0.000     3000  *Rack::BodyProxy#close 
   NaN      0.000     0.000     0.000     0.000     1000   String#bytesize 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Utils#bytesize 
   NaN      0.000     0.000     0.000     0.000     2000  *Rack::Response#write 
   NaN      0.000     0.000     0.000     0.000     3000  *Rack::BodyProxy#each 
   NaN      0.000     0.000     0.000     0.000     7000  *Rack::BodyProxy#respond_to? 
   NaN      0.000     0.000     0.000     0.000     1000   Kernel#lambda 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Utils::HeaderHash#each 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Utils::HeaderHash#merge! 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Utils::HeaderHash#merge 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Response#initialize 
   NaN      0.000     0.000     0.000     0.000     1000   StringIO#string 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::MockResponse#initialize 
   NaN      0.000     0.000     0.000     0.000     1000   StringIO#flush 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Utils::HeaderHash#include? 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveSupport::TaggedLogging::Formatter#pop_tags 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveSupport::TaggedLogging::Formatter#clear_tags! 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveSupport::TaggedLogging#clear_tags! 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveSupport::TaggedLogging#flush 
   NaN      0.000     0.000     0.000     0.000     2000   <Class::ActiveSupport::LogSubscriber>#logger 
   NaN      0.000     0.000     0.000     0.000     1000   <Class::ActiveSupport::LogSubscriber>#flush_all! 
   NaN      0.000     0.000     0.000     0.000     4000   Rack::BodyProxy#initialize 
   NaN      0.000     0.000     0.000     0.000     4000   Rack::Utils::HeaderHash#[] 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Cookies::CookieJar#write 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Request::Session::Options#values_at 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Session::Abstract::ID#force_options? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Session::Abstract::ID#forced_session_update? 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Session::SessionObject#loaded_session? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Session::Abstract::ID#commit_session? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::Session::Abstract::ID#commit_session 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::ConditionalGet#fresh? 
   NaN      0.000     0.000     0.000     0.000    19000   Rack::Utils::HeaderHash#[]= 
   NaN      0.000     0.000     0.000     0.000     2000   Rack::Utils::HeaderHash#initialize 
   NaN      0.000     0.000     0.000     0.000     2000   <Class::Rack::Utils::HeaderHash>#new 
   NaN      0.000     0.000     0.000     0.000     1000   Digest::Base#finish 
   NaN      0.000     0.000     0.000     0.000     1000   Digest::Base#update 
   NaN      0.000     0.000     0.000     0.000     2000   Digest::Base#reset 
   NaN      0.000     0.000     0.000     0.000     1000   Digest::Instance#digest 
   NaN      0.000     0.000     0.000     0.000     1000   Digest::Class#initialize 
   NaN      0.000     0.000     0.000     0.000     1000   <Class::Digest::Class>#digest 
   NaN      0.000     0.000     0.000     0.000     1000   <Class::Digest::Class>#hexdigest 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response::Buffer#each 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#each 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::ETag#digest_body 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::ETag#skip_caching? 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#respond_to? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::ETag#etag_body? 
   NaN      0.000     0.000     0.000     0.000     1000   Rack::ETag#etag_status? 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Http::Cache::Response#last_modified? 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Http::Cache::Response#handle_conditional_get! 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#append_charset? 
   NaN      0.000     0.000     0.000     0.000     1000   <Class::ActionDispatch::Response>#default_charset 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#assign_default_content_type_and_charset! 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#rack_response 
   NaN      0.000     0.000     0.000     0.000     1000   Hash#to_hash 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Response#to_a 
   NaN      0.000     0.000     0.000     0.000     1000   ActionController::Metal#to_a 
   NaN      0.000     0.000     0.000     0.000     1000   Float#round 
   NaN      0.000     0.000     0.000     0.000     2000   Float#to_f 
   NaN      0.000     0.000     0.000     0.000     1000   ActionController::Instrumentation::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Railties::ControllerRuntime::ClassMethods#log_process_action 
   NaN      0.000     0.000     0.000     0.000     3000  *ActionController::LogSubscriber#process_action 
   NaN      0.000     0.000     0.000     0.000     1000   Float#+ 
   NaN      0.000     0.000     0.000     0.000     1000   ActionController::Instrumentation#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000     1000   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload 
   NaN      0.000     0.000     0.000     0.000     3000   String#tr 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Http::Headers#env_name 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Http::Headers#[] 
   NaN      0.000     0.000     0.000     0.000     1000   ActionDispatch::Request#headers 
   NaN      0.000     0.000     0.000     0.000     1000   Turbolinks::XDomainBlocker#abort_xdomain_redirect 
