Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  1.89      1.060     0.117     0.000     0.943   108000  *Class#new 
  1.83      0.115     0.113     0.000     0.002   183000   Hash#[]= 
  1.52      0.163     0.094     0.000     0.069   182000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.43      0.088     0.088     0.000     0.000    29001   Hash#initialize_copy 
  1.30      0.080     0.080     0.000     0.000    23000   String#split 
  1.17      0.072     0.072     0.000     0.000     1000   SQLite3::Statement#initialize 
  1.11      0.166     0.068     0.000     0.098    87000   ThreadSafe::Cache#[] 
  1.09      0.078     0.067     0.000     0.011    83001   Kernel#respond_to? 
  1.09      0.240     0.067     0.000     0.173     9000   Array#select 
  1.07      0.102     0.066     0.000     0.036    27000   <Class::Time>#now 
  1.04      0.101     0.064     0.000     0.037    89000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.99      0.367     0.061     0.000     0.306    32000  *Hash#each 
  0.89      0.070     0.055     0.000     0.015     4000   <Module::ActiveSupport::JSON::Encoding>#escape 
  0.86      0.107     0.053     0.000     0.053     2000  *ActionController::UrlFor#url_options 
  0.84      0.112     0.052     0.000     0.060     5000   URI::Generic#initialize 
  0.82      0.057     0.051     0.000     0.006     1000   <Class::Digest::Class>#digest 
  0.79      0.082     0.049     0.000     0.033     2000   Rack::Utils::HeaderHash#initialize 
  0.78      0.048     0.048     0.000     0.000   225000   String#to_s 
  0.77      0.123     0.047     0.000     0.076    51000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.73      0.045     0.045     0.000     0.000    31000   String#downcase 
  0.72      0.044     0.044     0.000     0.000    12000   Regexp#=== 
  0.71      0.087     0.044     0.000     0.043    33000   Array#map 
  0.70      0.756     0.043     0.000     0.713     1000   JbuilderTemplate#_render_partial 
  0.70      0.043     0.043     0.000     0.000    62000   Thread#[] 
  0.70      0.043     0.043     0.000     0.000    11000   String#=~ 
  0.65      0.078     0.040     0.000     0.038    64000  *Kernel#public_send 
  0.64      4.080     0.039     0.000     4.040    92000  *Array#each 
  0.62      0.039     0.039     0.000     0.000   240000   String#=== 
