Thread ID: 18456180
Fiber ID: 52550820
Total: 5.751410
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.44      0.142     0.140     0.000     0.002   160000   Hash#[]= 
  1.95      0.979     0.112     0.000     0.867   101000  *Class#new 
  1.41      0.141     0.081     0.000     0.060   156000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.37      0.082     0.079     0.000     0.003     1000   BasicObject#instance_eval 
  1.28      0.073     0.073     0.000     0.000    21001   Hash#initialize_copy 
  1.27      0.084     0.073     0.000     0.011    92001   Kernel#respond_to? 
  1.15      0.175     0.066     0.000     0.108    86000   ThreadSafe::Cache#[] 
  1.12      0.064     0.064     0.000     0.000     1000   <Class::IO>#read 
  1.10      0.112     0.064     0.000     0.048    88000   ThreadSafe::NonConcurrentCacheBackend#[] 
  1.05      0.061     0.061     0.000     0.000     1000   <Class::Dir>#[] 
  1.04      0.211     0.060     0.000     0.151     8000   Array#select 
  1.03      0.205     0.060     0.000     0.145    25000   Hash#each 
  1.01      0.058     0.058     0.000     0.000     1000   SQLite3::Statement#initialize 
  0.96      0.055     0.055     0.000     0.000    14000   Array#join 
  0.90      0.052     0.052     0.000     0.000    23000   String#split 
  0.89      0.111     0.051     0.000     0.060     5000   URI::Generic#initialize 
  0.83      0.097     0.048     0.000     0.050    37000   Array#map 
  0.76      0.044     0.044     0.000     0.000    11000   String#=~ 
  0.76      0.377     0.043     0.000     0.334     1000   Rabl::Partials#partial 
  0.74      0.043     0.043     0.000     0.000   194000   String#to_s 
  0.72      0.109     0.041     0.000     0.067    46000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.72      0.041     0.041     0.000     0.000    11000   Regexp#=== 
  0.71      0.041     0.041     0.000     0.000     2000   Array#flatten! 
  0.71      0.041     0.041     0.000     0.000     2000   Array#& 
  0.70      0.051     0.040     0.000     0.011     3000   ActiveSupport::Notifications::Fanout#subscribe 
  0.68      3.833     0.039     0.000     3.794    92000  *Array#each 
  0.68      0.039     0.039     0.000     0.000    56000   Thread#[] 
  0.63      0.036     0.036     0.000     0.000     3000   IO#write 
  0.59      0.034     0.034     0.000     0.000    82000   Kernel#is_a? 
  0.59      0.066     0.034     0.000     0.032    55000  *Kernel#public_send 
  0.59      0.034     0.034     0.000     0.000   213000   String#=== 
  0.57      0.107     0.033     0.000     0.074    19000   Rack::Utils::HeaderHash#[]= 
  0.55      0.033     0.031     0.000     0.002     1000   SQLite3::Statement#step 
  0.51      5.599     0.029     0.000     5.570     1000   ActionDispatch::Integration::Session#process 
  0.48      0.027     0.027     0.000     0.000    58000   Module#name 
  0.48      0.113     0.027     0.000     0.086    39001  *Kernel#initialize_dup 
  0.46      0.059     0.026     0.000     0.033     1000   ActiveSupport::Inflector#underscore 
  0.45      0.026     0.026     0.000     0.000    40001   Symbol#to_s 
  0.43      0.025     0.025     0.000     0.000    63000   Module#=== 
  0.41      0.106     0.023     0.000     0.083    26000  *Kernel#dup 
  0.41      0.023     0.023     0.000     0.000     5000   String#% 
  0.40      0.053     0.023     0.000     0.030    13001   Hash#merge 
  0.38      0.291     0.022     0.000     0.269    16000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.37      0.021     0.021     0.000     0.000     4000   String#gsub! 
  0.36      0.023     0.021     0.000     0.002     1000   Time#to_default_s 
  0.36      0.021     0.021     0.000     0.000     3000   Regexp#initialize 
  0.34      0.132     0.020     0.000     0.112     2000   ActionDispatch::Response#initialize 
  0.33      0.019     0.019     0.000     0.000    73000   <Class::Thread>#current 
  0.33      0.044     0.019     0.000     0.025    20000   <Class::Time>#now 
  0.32      0.058     0.018     0.000     0.040     5000   URI::Parser#split 
  0.32      0.033     0.018     0.000     0.015    25000   Enumerable#any? 
  0.30      0.025     0.017     0.000     0.008    20000   Time#initialize 
  0.30      0.022     0.017     0.000     0.005    16000   Array#hash 
  0.29      0.105     0.017     0.000     0.088     3000  *<Class::Rack::MockRequest>#env_for 
  0.28      0.046     0.016     0.000     0.030     6000   ActionView::LookupContext::ViewPaths#normalize_name 
  0.28      0.016     0.016     0.000     0.000    57000   Kernel#class 
  0.28      0.035     0.016     0.000     0.019     2000   Array#reject! 
  0.28      0.016     0.016     0.000     0.000    31000   String#downcase 
  0.26      0.015     0.015     0.000     0.000     3000   <Class::ActiveRecord::Base>#logger 
  0.26      0.280     0.015     0.000     0.266    22000  *Mutex#synchronize 
  0.25      0.043     0.015     0.000     0.029     6000   ActionDispatch::Request#initialize 
  0.25      0.014     0.014     0.000     0.000     7000   Hash#merge! 
  0.25      0.016     0.014     0.000     0.002    42000   String#== 
  0.25      0.026     0.014     0.000     0.012     3000  *URI::Generic#to_s 
  0.24      0.121     0.014     0.000     0.107     1000   ActiveRecord::QueryMethods#build_arel 
  0.24      0.014     0.014     0.000     0.000    15000   Hash#initialize 
  0.24      0.019     0.014     0.000     0.005    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
  0.24      0.014     0.014     0.000     0.000     8000   Array#flatten 
  0.23      0.105     0.013     0.000     0.092     9000   Kernel#tap 
  0.23      0.041     0.013     0.000     0.028    16000   Object#present? 
  0.22      0.241     0.013     0.000     0.228     3000   ActiveSupport::Subscriber#finish 
  0.22      0.025     0.013     0.000     0.012     4000   Time#minus_without_duration 
  0.22      1.547     0.013     0.000     1.534     1000   Rabl::Engine#render 
  0.22      0.013     0.013     0.000     0.000    52001   Kernel#respond_to_missing? 
  0.22      0.012     0.012     0.000     0.000     6000   MatchData#[] 
  0.22      0.012     0.012     0.000     0.000     5000   Array#- 
  0.21      0.021     0.012     0.000     0.009    13000   Array#include? 
  0.21      0.012     0.012     0.000     0.000    59000   Kernel#hash 
  0.21      0.012     0.012     0.000     0.000    12000   Symbol#inspect 
  0.21      0.012     0.012     0.000     0.000    20000   Kernel#instance_variable_set 
  0.21      0.084     0.012     0.000     0.073     5000   MonitorMixin#mon_synchronize 
  0.20      0.200     0.011     0.000     0.189     5000   URI::Parser#parse 
  0.20      0.067     0.011     0.000     0.056     6000   ActionView::Resolver::Cache#cache 
  0.19      0.018     0.011     0.000     0.006     1000   JSON::Ext::Generator::State#generate 
  0.19      0.031     0.011     0.000     0.020     1000   URI::Generic#merge_path 
  0.19      2.576     0.011     0.000     2.566     1000   RablController#_run__3659547231133546598__process_action__callbacks 
  0.19      4.989     0.011     0.000     4.978     1000   Rack::MockSession#request 
  0.18      5.635     0.011     0.000     5.624     1000   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.18      0.040     0.010     0.000     0.030     9000   Enumerable#map 
  0.18      0.119     0.010     0.000     0.108     3000   Logger#add 
  0.18      0.042     0.010     0.000     0.032     1000   Rack::Utils#parse_query 
  0.18      0.010     0.010     0.000     0.000    29000   Hash#key? 
  0.18      0.052     0.010     0.000     0.041     1000   Rack::Request#POST 
  0.18      0.010     0.010     0.000     0.000    21000   Rabl::Helpers#context_scope 
  0.18      0.025     0.010     0.000     0.015     7000  *Rack::BodyProxy#respond_to? 
  0.17      0.191     0.010     0.000     0.181     1000   Rack::Test::Session#env_for 
  0.17      0.012     0.010     0.000     0.002     3000   Array#collect 
  0.17      0.010     0.010     0.000     0.000    30000   Array#first 
  0.17      0.075     0.010     0.000     0.065     2000   Rabl::Engine#request_format 
  0.17      0.016     0.010     0.000     0.006     5000   MonitorMixin#mon_enter 
  0.17      0.035     0.010     0.000     0.025    23000  *Hash#[] 
  0.17      0.013     0.010     0.000     0.003     5000   URI::Generic#set_userinfo 
  0.16      0.020     0.009     0.000     0.010     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.16      0.009     0.009     0.000     0.000    15000   Kernel#instance_variable_get 
  0.16      0.011     0.009     0.000     0.002    15000   Array#eql? 
  0.16      0.093     0.009     0.000     0.084     3000  *ActionController::LogSubscriber#process_action 
  0.16      0.121     0.009     0.000     0.112     6000   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.16      0.520     0.009     0.000     0.511     1000   ActiveRecord::Querying#find_by_sql 
  0.16      0.318     0.009     0.000     0.309     1000   <Module::Rabl>#source_cache 
  0.16      0.017     0.009     0.000     0.007     5000   MonitorMixin#mon_exit 
  0.16      0.025     0.009     0.000     0.016     3000   Hash#hash 
  0.16      0.059     0.009     0.000     0.050     1000   ActionView::MissingTemplate#initialize 
  0.15      0.054     0.009     0.000     0.045     1000   Rack::Test::Cookie#valid? 
  0.15      0.080     0.009     0.000     0.071     6000   ActionView::Resolver#cached 
  0.15      0.029     0.009     0.000     0.020     6000   ActionDispatch::Http::URL#initialize 
  0.15      2.924     0.009     0.000     2.915     5000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.15      0.146     0.008     0.000     0.137     1000   Rack::Response#initialize 
  0.15      0.011     0.008     0.000     0.003     6000   Array#== 
  0.15      0.008     0.008     0.000     0.000    22000   Fixnum#+ 
  0.15      0.012     0.008     0.000     0.004     7000   URI::Generic#set_port 
  0.15      0.058     0.008     0.000     0.049     3000   Array#map! 
  0.14      0.045     0.008     0.000     0.037     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.14      0.012     0.008     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.14      1.326     0.008     0.000     1.317     1000   Rabl::Engine#cache_results 
  0.14      0.124     0.008     0.000     0.115     1000   URI::Generic#merge 
  0.14      0.024     0.008     0.000     0.016     5000   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.14      0.014     0.008     0.000     0.006     9000   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.14      0.090     0.008     0.000     0.083     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.14      0.820     0.008     0.000     0.813     1000   ActiveRecord::FinderMethods#find_first 
  0.14      0.011     0.008     0.000     0.004     9000   Kernel#Array 
  0.14      0.023     0.008     0.000     0.016     4000   ActiveSupport::Callbacks::ClassMethods#__define_callbacks 
  0.13      0.029     0.008     0.000     0.021     6000   ActiveSupport::HashWithIndifferentAccess#default 
  0.13      0.086     0.008     0.000     0.078     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
